Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0235732763735559,-1.16301105845676E-16,-0.0393476182287232,0,0,0,23.4644604067189,0.443716606385079,1.51028178972321E-16,0.00342987078268199,0.784701467555992,9.75264500412178E-19,1.20292332901758,0,0,0,0,0,0,package://hivebot_trolley/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/base_link.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_wheel_mount_plate_1,0,0,0.00372376098180308,0,0,0,0.0327823001646924,1.83921920866059E-05,3.24615009351937E-21,-1.54550847789467E-22,1.83921920866059E-05,1.24661932029889E-23,3.66220350741116E-05,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_mount_plate_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_mount_plate_1.STL,,front_wheel_mount_plate-1,Origin_front_wheel_mount_plate_1_tobase,,front_wheel_mount_plate_1_tobase,fixed,0.28,-0.205,-0.086,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
front_wheel_holder_1,0,0.0353498305391302,5.55111512312578E-17,0,0,0,0.150983674432007,0.00028266058025081,-3.21116342948743E-20,2.79944389067546E-19,0.000195595027956607,9.17390835065707E-20,0.000185655183273928,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_holder_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_holder_1.STL,,front_wheel_holder-1,Origin_front_wheel_holder_1_toplate,Axis_front_wheel_holder_1_toplate,front_wheel_holder_1_toplate,continuous,0,0,0,-1.5708,0,-3.1022,front_wheel_mount_plate_1,0,1,0,,,,,,,,,,,,
front_wheel_1,0,0,5.55111512312578E-17,0,0,0,0.642809126832642,0.000780813338623139,5.42101086242752E-20,-6.55230197504303E-20,0.00078081333862314,-1.84261108894285E-19,0.00127745325926734,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_1.STL,,front_wheel-1,Origin_front_wheel_1_toholder,Axis_front_wheel_1_toholder,front_wheel_1_toholder,continuous,0,0.081,0,0,0,1.9085,front_wheel_holder_1,0,0,1,,,,,,,,,,,,
front_wheel_mount_plate_2,0,-2.77555756156289E-17,0.00372376098180308,0,0,0,0.0327823001646925,1.83921920866059E-05,4.93527744713229E-21,-5.06886009705894E-23,1.83921920866059E-05,-2.42774695441036E-22,3.66220350741116E-05,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_mount_plate_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_mount_plate_2.STL,,front_wheel_mount_plate-2,Origin_front_wheel_mount_plate_2_tobase,,front_wheel_mount_plate_2_tobase,fixed,0.28,0.205,-0.086,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
front_wheel_holder_2,0,0.0353498305391302,-1.38777878078145E-16,0,0,0,0.150983674432007,0.00028266058025081,2.48099744005913E-20,-5.8699383244723E-19,0.000195595027956607,8.44021330596004E-20,0.000185655183273928,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_holder_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_holder_2.STL,,front_wheel_holder-2,Origin_front_wheel_holder_2_toplate,Axis_front_wheel_holder_2_toplate,front_wheel_holder_2_toplate,continuous,0,0,0,-1.5708,0,0.07963,front_wheel_mount_plate_2,0,1,0,,,,,,,,,,,,
front_wheel_2,0,0,2.77555756156289E-17,0,0,0,0.642809126832642,0.000780813338623139,-5.42101086242752E-20,4.90097043911794E-19,0.000780813338623139,-4.72387687152462E-19,0.00127745325926734,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/front_wheel_2.STL,,front_wheel-2,Origin_front_wheel_2_toholder,Axis_front_wheel_2_toholder,front_wheel_2_toholder,continuous,0,0.081,0,0,0,2.2113,front_wheel_holder_2,0,0,1,,,,,,,,,,,,
back_wheel_holder_2,2.77555756156289E-17,2.77555756156289E-17,0.12370581952403,0,0,0,1.36689710972196,0.00338021767437179,2.06305140072641E-19,-2.77319256608588E-19,0.00382021767437179,-1.2413112864934E-19,0.00249215534678811,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_holder_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_holder_2.STL,,back_wheel_holder-2,Origin_back_wheel_holder_2_tobase,,back_wheel_holder_2_tobase,fixed,-0.2185,-0.25,-0.13,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
back_wheel_2,4.16333634234434E-16,-5.55111512312578E-17,0.0399999999999996,0,0,0,2.69353870933482,0.00949511675813368,5.29395592033938E-23,9.95024472665243E-19,0.00949511675813367,-1.1541177720628E-18,0.0161171255596435,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_2.STL,,back_wheel-2,Origin_back_wheel_2_toholder,Axis_back_wheel_2_toholder,back_wheel_2_toholder,continuous,0,0,0,0,0,1.5708,back_wheel_holder_2,0,0,1,,,,,,,,,,,,
back_wheel_holder_1,0,0,0.12370581952403,0,0,0,1.36689710972196,0.00338021767437178,3.21237840152391E-19,-1.88824243478581E-19,0.00382021767437178,-1.63935584020256E-21,0.00249215534678811,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_holder_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_holder_1.STL,,back_wheel_holder-1,Origin_back_wheel_holder_1_tobase,,back_wheel_holder_1_tobase,fixed,-0.2185,0.25,-0.13,-1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
back_wheel_1,-5.55111512312578E-17,0,0.04,0,0,0,2.69353870933482,0.00949511675813368,0,1.26731753157619E-18,0.00949511675813368,-1.52133972476596E-18,0.0161171255596436,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/back_wheel_1.STL,,back_wheel-1,Origin_back_wheel_1_toholder,Axis_back_wheel_1_toholder,back_wheel_1_toholder,continuous,0,0,0,0,0,2.8824,back_wheel_holder_1,0,0,1,,,,,,,,,,,,
guiding_frame-2,1.40422097108178E-16,-5.55111512312578E-17,0.52082343378767,0,0,0,5.75784,0.369158792655726,2.49402192883461E-18,5.73478237026073E-17,0.387658995375726,3.63659399409593E-17,0.02826234816,0,0,0,0,0,0,package://hivebot_trolley/meshes/guiding_frame-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/guiding_frame-2.STL,,guiding_frame-2,Origin_guiding-frame-2-tobase,,guiding-frame-2-tobase,fixed,0.275,0,0.81,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
mount-box,-0.0400000000000001,-0.0599999999999999,-0.06,0,0,0,1.43838725877128,0.00345361373947357,1.45609786108984E-19,-1.2659665150112E-19,0.00290597229871286,-6.51769155242515E-19,0.00290766425871286,0,0,0,0,0,0,package://hivebot_trolley/meshes/mount-box.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/mount-box.STL,,linear_guide-3;linear_guide-1;linear_guide-5;linear_guide-6;linear_guide-7;linear_guide-4;linear_guide-2;mount_box_for_arm-1;linear_guide-8,Origin_mount-box-to-frame,Axis_mount-box-to-frame,mount-box-to-frame,prismatic,0.06,-0.04,0.11989,-1.5708,0,-1.5708,guiding_frame-2,0,1,0,0,0,0,0,,,,,,,,
surrounding-frame,0.25081880830438,-0.0984828202328318,0.385306866228244,0,0,0,39.1078118021391,1.55288148334587,-0.00153801040030465,0.00220493109382033,1.67301946819098,0.0166316312278493,1.1231420016058,0,0,0,0,0,0,package://hivebot_trolley/meshes/surrounding-frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/surrounding-frame.STL,,tool_mounting_tower-2;tool_mounting_tower-1;right_panel-1;water tank-1;left_pane-1;water_pipe-1;cover-1;door_hinge-6;door_hinge-5,Origin_surrounding-frame-to-base,,surrounding-frame-to-base,fixed,0.225,-0.25,0.81,3.1416,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
cover-door,0.137890062430959,0.150040997767576,-0.000110355172872834,0,0,0,1.71577433388231,0.0128235955145912,-7.18271089932621E-06,1.93339625511969E-05,0.0117484833677518,1.88568302746812E-06,0.0244481959322745,0,0,0,0,0,0,package://hivebot_trolley/meshes/cover-door.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/cover-door.STL,,cover_door-1,Origin_cover-door-to-frame,Axis_cover-door-to-frame,cover-door-to-frame,continuous,0.36855,-0.06,0.01,0,0.001715,3.1416,surrounding-frame,0,1,0,,,,,,,,,,,,
tablet,1.36883635898117E-05,0.00296570177312283,4.00530110057362E-05,0,0,0,0.113687986940389,0.000111445471191984,-6.15789915572864E-11,2.32192465433345E-08,0.000413028900787828,2.72645884829236E-08,0.000302229544189519,0,0,0,0,0,0,package://hivebot_trolley/meshes/tablet.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/tablet.STL,,tablet-1,Origin_tablet-to-frame,,tablet-to-frame,fixed,0.251,-0.47364,0.070711,-0.7854,0,-3.1416,surrounding-frame,0,0,0,,,,,,,,,,,,
handle,0.2,0,0.0683128872678796,0,0,0,0.383705226392601,0.000225586911534695,2.06897283647009E-19,1.39338231937946E-18,0.00803378140369941,1.95575888623689E-20,0.00785136133013388,0,0,0,0,0,0,package://hivebot_trolley/meshes/handle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/handle.STL,,handle-1,Origin_handle-to-frame,,handle-to-frame,fixed,0.05,-0.55,0.18,1.5708,0,0,surrounding-frame,0,0,0,,,,,,,,,,,,
tools,0.192936151051069,0.120280603660325,-0.0161951081872489,0,0,0,0.532371246582646,0.00119708517877981,-1.65474125270207E-05,-5.00577809600436E-06,0.00122007986339354,9.57355060860906E-06,0.000526564685247578,0,0,0,0,0,0,package://hivebot_trolley/meshes/tools.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/tools.STL,,tool_holder-1;disposal_sponge_brush-1;tool_holder-2;disposal_sponge_brush-2,Origin_tools-to-frame,,tools-to-frame,fixed,0.47671,0.09305,0.59,3.1416,0,-2.6598,surrounding-frame,0,0,0,,,,,,,,,,,,
compartment-1,-0.000407919789025102,0.0298582952007898,0.273367873191963,0,0,0,5.66237181704939,0.211234924589257,6.76868449226748E-17,1.33025596361753E-18,0.230542686133498,-0.00553942271601607,0.0904301793877136,0,0,0,0,0,0,package://hivebot_trolley/meshes/compartment-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/compartment-1.STL,,tool_compartment-1;door_hinge-1;door_hinge-2,Origin_compartment-1-tobase,,compartment-1-tobase,fixed,-0.2,0.125,0,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
door-1,0.295291950301883,0.10382999581969,1.11022302462516E-16,0,0,0,1.31049557428756,0.00542945303432149,3.97253126393702E-05,8.26254170266968E-20,0.038054773608125,-3.99121924746226E-18,0.0434624308644346,0,0,0,0,0,0,package://hivebot_trolley/meshes/door-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/door-1.STL,,compartment_door-1,Origin_door-1-to-compartment,Axis_door-1-to-compartment,door-1-to-compartment,continuous,-0.1,-0.115,0.01,1.568,-1.5708,0,compartment-1,1,0,0,,,,,,,,,,,,
compartment-2,0.000407919789025379,0.0298582952007898,0.273367873191963,0,0,0,5.66237181704939,0.211234924589257,7.54303366478574E-17,2.25062829490829E-17,0.230542686133498,-0.0055394227160161,0.0904301793877136,0,0,0,0,0,0,package://hivebot_trolley/meshes/compartment-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/compartment-2.STL,,tool_compartment-2;door_hinge-3;door_hinge-4,Origin_compartment-2-to-base,,compartment-2-to-base,fixed,-0.2,-0.125,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
door-2,0.295291950301883,0.103829995819691,1.38777878078145E-16,0,0,0,1.31049557428757,0.0054294530343215,3.97253126393726E-05,-4.8450284582946E-19,0.0380547736081251,1.62630325872826E-18,0.0434624308644347,0,0,0,0,0,0,package://hivebot_trolley/meshes/door-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hivebot_trolley/meshes/door-2.STL,,compartment_door-2,Origin_door-2-to-compartment,Axis_door-2-to-compartment,door-2-to-compartment,continuous,0.1,-0.115,0.01,1.5394,-1.5708,0,compartment-2,1,0,0,,,,,,,,,,,,
